lambda,Aki,fik,Acc,Ei,Ek,Type,
1213.412,6.e+06,1.2e-03,D,25805.3270,108217.596,,
1213.749,1.7e+07,6.e-03,D,8680.4706,91070.566,,
1213.749,1.7e+07,5.e-03,D,8391.9554,90780.623,,
1214.150,2.0e+07,9.e-03,D,8846.7837,91208.892,,
1214.398,6.e+06,1.3e-03,D,7955.3186,90300.628,,
1216.844,7.e+06,2.0e-03,D,22637.1950,104816.702,,
1218.212,9.e+06,2.6e-03,D,7955.3186,90042.804,,
1218.460,1.0e+07,4.6e-03,D,26932.7348,109003.621,,
1218.808,7.e+06,1.4e-03,D,26170.1810,108217.596,,
1219.798,1.1e+08,2.9e-02,D+,21251.5833,103232.372,,
1223.624,5.e+06,9.e-04,D,25805.3270,107529.849,,
1224.130,1.3e+08,3.3e-02,D+,21430.3564,103121.00,,
1228.521,1.4e+08,3.7e-02,D+,21581.6151,102980.30,,
1228.756,1.3e+07,2.0e-03,D,27620.4033,109003.621,,
1230.594,2.8e+07,6.e-03,E,25428.7893,106690.358,,
1231.165,1.2e+07,2.0e-03,D,27314.9183,108539.473,,
1231.504,1.0e+07,2.2e-03,D,25805.3270,107006.684,,
1232.158,2.4e+07,3.6e-03,D,27620.4033,108778.889,,
1233.658,3.8e+07,1.0e-02,D+,21430.3564,102490.116,,
1236.462,8.e+06,1.8e-03,D,20830.5534,101706.498,,
1238.255,2.3e+07,6.2e-03,D+,21581.6151,102340.464,,
1239.255,1.7e+07,4.0e-03,D,25787.5816,106481.329,,
1239.868,7.e+07,1.5e-02,E,26352.7671,107006.684,,
1240.531,2.4e+07,6.e-03,D,25787.5816,106398.405,,
1241.923,5.e+07,1.1e-02,E,26170.1810,106690.358,,
1244.748,1.1e+07,3.0e-03,D,26352.7671,106690.358,,
1245.764,2.2e+07,5.e-03,E,30388.5451,110660.690,,
1249.794,1.1e+07,3.4e-03,D,13474.4474,93487.653,,
1255.404,3.4e+07,1.1e-02,D+,13474.4474,93129.879,,
1255.502,6.e+06,1.4e-03,D,30764.4737,110413.870,,
1256.435,3.0e+07,3.5e-03,D,21812.0454,101402.37,,
1259.055,2.6e+07,6.1e-03,D+,13474.4474,92899.306,,
1259.178,1.6e+07,3.1e-03,D+,20340.2461,99757.211,,
1259.636,9.e+06,2.1e-03,D,25428.7893,104816.702,,
1260.525,1.1e+08,2.0e-02,D+,0.0000,79331.361,,
1260.830,1.0e+08,2.0e-02,D+,20340.2461,99653.257,,
1262.081,5.e+06,1.0e-03,D,15844.6485,95079.342,,
1262.141,1.3e+08,3.7e-02,D+,25428.7893,104659.146,,
1262.211,8.e+06,3.0e-03,D,13673.2045,92899.306,,
1262.823,6.e+07,1.6e-02,D,26932.7348,106120.45,,
1263.198,1.1e+07,5.e-03,D,22409.8178,101573.977,,
1263.706,1.5e+07,3.7e-03,D+,25805.3270,104937.71,,
1265.074,1.6e+07,3.8e-03,D,25981.6451,105028.537,,
1265.464,9.e+06,3.4e-03,D,13673.2045,92695.398,,
1265.641,1.4e+08,4.0e-02,D+,25805.3270,104816.702,,
1265.776,6.0e+07,1.2e-02,D+,20805.7632,99808.549,,
1266.245,4.1e+07,1.0e-02,D+,13673.2045,92647.591,,
1266.245,1.5e+08,4.9e-02,D+,26055.4120,105028.537,,
1266.526,1.4e+08,4.3e-02,D+,25981.6451,104937.71,,
1266.675,3.1e+07,7.4e-03,D+,384.7872,79331.361,,
1267.416,8.e+07,1.4e-02,D+,384.7872,79284.919,,
1268.143,2.9e+07,6.9e-03,D+,13474.4474,92329.905,,
1268.559,4.5e+07,9.e-03,D+,20805.7632,99635.420,,
1269.041,2.2e+07,5.e-03,D,13474.4474,92274.123,,
1269.356,2.2e+07,2.7e-03,D,13673.2045,92453.365,,
1269.823,2.4e+07,3.8e-03,D,13474.4474,92225.549,,
1271.234,5.e+06,1.7e-03,D,667.6829,79331.361,,
1271.348,1.8e+07,7.e-03,D,13673.2045,92329.905,,
1271.592,7.e+07,8.e-03,D,13673.2045,92314.764,,
1271.974,5.7e+07,1.4e-02,D+,667.6829,79284.919,,
1272.248,3.1e+07,1.1e-02,D+,13673.2045,92274.123,,
1272.617,2.7e+07,4.4e-03,D+,667.6829,79245.926,,
1272.656,1.8e+07,2.9e-03,D+,667.6829,79243.462,,
1273.038,9.e+06,2.3e-03,D,13673.2045,92225.549,,
1273.099,3.8e+07,9.e-03,D,13904.8604,92453.365,,
1274.064,2.4e+07,6.8e-03,D+,26170.1810,104659.146,,
1274.470,7.e+06,2.0e-03,D,26352.7671,104816.702,,
1275.143,1.9e+07,7.e-03,D,862.6118,79284.919,,
1275.348,2.6e+07,6.e-03,D,13904.8604,92314.764,,
1275.792,4.1e+07,1.0e-02,D+,862.6118,79245.926,,
1275.824,2.7e+07,6.7e-03,D+,862.6118,79243.462,,
1276.795,6.3e+07,3.1e-02,D+,13904.8604,92225.549,,
