nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.547321,3.161e-07,694.184,376,360,ElecStateLabel=X;v12=1;J=23;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=22;K=1;rovibSym=E2,5,569
2.548601,1.466e-06,351.414,216,200,ElecStateLabel=X;v12=1;J=13;K=2;rovibSym=A+,ElecStateLabel=X;v12=1;J=12;K=1;rovibSym=A+,5,569
2.552088,8.971e-07,30.764,88,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=0;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=1;rovibSym=E1,5,569
2.5529,2.856e-09,141.374,200,200,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=12;K=2;rovibSym=E1,5,569
2.563912,4.499e-09,162.366,216,216,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=2;rovibSym=E1,5,569
2.576462,2.222e-09,748.919,328,328,ElecStateLabel=X;v12=1;J=20;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=20;K=6;rovibSym=E1,5,569
2.5819,1.316e-11,624.568,328,344,ElecStateLabel=X;v12=1;J=20;K=3;rovibSym=E1,ElecStateLabel=X;v12=1;J=21;K=2;rovibSym=E2,5,569
2.582018,6.846e-09,184.972,232,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=2;rovibSym=E1,5,569
2.610277,1.007e-08,209.19,248,248,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=2;rovibSym=E1,5,569
2.644195,1.083e-09,121.899,184,168,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=11;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=10;K=3;rovibSym=E1,5,569
2.652378,1.446e-08,235.019,264,264,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=16;K=2;rovibSym=E1,5,569
2.659552,3.369e-14,496.719,280,264,ElecStateLabel=X;v12=1;J=17;K=2;rovibSym=E2,ElecStateLabel=X;v12=1;J=16;K=2;rovibSym=E1,5,569
2.681925,6.432e-11,485.762,376,392,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=24;K=1;rovibSym=E2,5,569
2.690839,6.784e-11,28.073,72,88,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=1;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E2,5,569
2.701641,1.039e-06,68.68,120,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=1;rovibSym=A-,5,569
2.706788,4.034e-09,782.571,344,344,ElecStateLabel=X;v12=1;J=21;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=21;K=6;rovibSym=E1,5,569
2.712494,2.035e-08,262.456,280,280,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=17;K=2;rovibSym=E1,5,569
2.723654,1.009e-06,339.72,296,312,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=4;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=3;rovibSym=E1,5,569
2.749196,2.061e-08,872.603,232,216,ElecStateLabel=X;v12=1;J=14;K=11;rovibSym=A+,ElecStateLabel=X;v12=1;J=13;K=12;rovibSym=A+,5,569
2.749196,2.061e-08,872.603,232,216,ElecStateLabel=X;v12=1;J=14;K=11;rovibSym=A-,ElecStateLabel=X;v12=1;J=13;K=12;rovibSym=A-,5,569
2.765149,1.033e-06,500.85,360,376,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=5;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=4;rovibSym=A+,5,569
2.772612,1.041e-06,500.842,360,376,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=22;K=5;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=23;K=4;rovibSym=A-,5,569
2.779007,1.582e-06,696.074,360,344,ElecStateLabel=X;v12=1;J=22;K=5;rovibSym=A+,ElecStateLabel=X;v12=1;J=21;K=6;rovibSym=A+,5,569
2.779008,1.582e-06,696.074,360,344,ElecStateLabel=X;v12=1;J=22;K=5;rovibSym=A-,ElecStateLabel=X;v12=1;J=21;K=6;rovibSym=A-,5,569
2.795022,2.826e-08,291.498,296,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=2;rovibSym=E1,5,569
2.807228,4.398e-07,738.186,184,184,ElecStateLabel=X;v12=1;J=11;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=11;K=11;rovibSym=E1,5,569
2.816075,1.116e-06,187.554,216,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=13;K=3;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=2;rovibSym=E2,5,569
2.819324,1.969e-06,25.254,88,72,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=5;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=4;K=0;rovibSym=E1,5,569
2.819965,7.833e-07,757.455,200,200,ElecStateLabel=X;v12=1;J=12;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=12;K=11;rovibSym=E1,5,569
2.821086,7.655e-08,319.322,312,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=2;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=3;rovibSym=E2,5,569
2.826752,9.42e-07,370.23,312,296,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=4;rovibSym=E1,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=18;K=5;rovibSym=E1,5,569
