obs_wl_vac(A)|Aki(s^-1)|Acc|Ei(cm-1)|Ek(cm-1)|conf_i|term_i|J_i|conf_k|term_k|J_k|Type|
941.264|7.e+07|E|384.7872|106624.631|3d6.(5D).4s|a 6D|7/2|3d5.(4F).4s.4p.(3P*)|6F*|9/2||
945.086|4.1e+07|D|667.6829|106478.067|3d6.(5D).4s|a 6D|5/2|3d5.(4F).4s.4p.(3P*)|6F*|7/2||
978.366|2.2e+08|E|7955.3186|110166.534|3d6.(5D).4s|a 4D|7/2|3d6.(3F2).5p|4F*|9/2||
981.370|4.6e+07|D|8391.9554|110290.739|3d6.(5D).4s|a 4D|5/2|3d6.(3F1).5p|4D*|5/2||
984.760|2.4e+07|D|1872.5998|103420.207|3d7|a 4F|9/2|3d6.(5D<3>).4f|2[6]*|11/2||
989.661|2.1e+07|D|2837.9807|103882.740|3d7|a 4F|5/2|3d6.(5D<1>).4f|2[4]*|7/2||
989.894|1.0e+08|D+|1872.5998|102893.426|3d7|a 4F|9/2|3d6.(5D<4>).4f|2[6]*|11/2||
990.004|3.1e+07|D+|1872.5998|102882.424|3d7|a 4F|9/2|3d6.(5D<4>).4f|2[4]*|9/2||
990.315|1.2e+07|D|1872.5998|102851.394|3d7|a 4F|9/2|3d6.(5D<4>).4f|2[5]*|9/2||
990.856|5.4e+07|D+|2430.1369|103352.723|3d7|a 4F|7/2|3d6.(5D<3>).4f|2[5]*|9/2||
991.340|1.1e+07|D|2837.9807|103711.610|3d7|a 4F|5/2|3d6.(5D<2>).4f|2[4]*|7/2||
