H2j3 W13-0P3    849.83681 9.435e-05 2.23e+08 
H2j4 L0-0P4     1120.24748 7.565e-04 1.85e+09 
H2j4 L0-0R4     1116.01239 7.782e-04 1.83e+09 
H2j4 L1-0P4     1104.08118 2.601e-03 1.73e+09 
H2j4 L1-0R4     1100.16121 2.861e-03 1.71e+09 
H2j4 L2-0P4     1088.79232 5.156e-03 1.62e+09 
H2j4 L2-0R4     1085.14221 6.041e-03 1.60e+09 
H2j4 L3-0P4     1074.30956 7.738e-03 1.53e+09 
H2j4 L3-0R4     1070.89657 9.624e-03 1.51e+09 
H2j4 L4-0P4     1060.57754 9.798e-03 1.44e+09 
H2j4 L4-0R4     1057.37698 1.295e-02 1.42e+09 
H2j4 L5-0P4     1047.54821 1.099e-02 1.33e+09 
H2j4 L5-0R4     1044.54024 1.549e-02 1.32e+09 
H2j4 L6-0P4     1035.17911 1.127e-02 1.23e+09 
H2j4 L6-0R4     1032.34715 1.713e-02 1.15e+09 
H2j4 L7-0P4     1023.43324 1.049e-02 9.94e+08 
H2j4 L7-0R4     1020.76335 1.814e-02 9.84e+08 
H2j4 W0-0P4     1017.38280 9.945e-03 1.18e+09 
H2j4 W0-0Q4     1014.98019 2.394e-02 1.17e+09 
H2j4 L8-0P4     1012.25906 1.075e-02 7.46e+08 
H2j4 W0-0R4     1011.81046 1.396e-02 1.17e+09 
H2j4 L8-0R4     1009.71528 1.410e-02 6.97e+08 
H2j4 L9-0P4     1001.65253 8.692e-03 6.53e+08 
H2j4 L9-0R4     999.26734 1.656e-02 6.36e+08 
H2j4 W1-0P4     994.22534 1.383e-02 1.15e+09 
H2j4 W1-0Q4     992.04735 3.659e-02 1.15e+09 
H2j4 L10-0P4    991.53113 9.916e-03 6.30e+08 
H2j4 L10-0R4    989.55211 3.104e-02 8.13e+08 
H2j4 W1-0R4     988.86987 8.708e-04 9.53e+08 
H2j4 L11-0P4    981.94575 6.712e-03 5.85e+08 
H2j4 L11-0R4    979.80312 1.279e-02 5.20e+08 
H2j4 W2-0P4     973.44662 6.928e-03 1.04e+09 
H2j4 L12-0P4    972.68960 1.357e-02 5.70e+08 
H2j4 W2-0Q4     971.38541 3.508e-02 1.13e+09 
H2j4 L12-0R4    970.83495 1.604e-02 4.84e+08 
H2j4 W2-0R4     968.66270 1.260e-02 1.11e+09 
H2j4 L13-0P4    964.08941 4.985e-03 4.63e+08 
H2j4 L13-0R4    962.15165 8.753e-03 4.48e+08 
H2j4 L14-0P4    955.85279 1.694e-03 4.55e+08 
H2j4 W3-0P4     954.47124 1.360e-02 1.09e+09 
H2j4 L14-0R4    954.00258 1.006e-02 4.15e+08 
H2j4 W3-0Q4     952.75434 2.763e-02 1.12e+09 
H2j4 W3-0R4     950.31208 1.263e-02 1.10e+09 
H2j4 L15-0P4    947.88689 3.656e-03 3.85e+08 
H2j4 L15-0R4    946.12195 5.331e-03 3.86e+08 
